"","Area.km2","Perimeter.km","abiotic_plant","zoo_plant","total.plant","kgc.variety","phz_variety","elevation.mean","elevation.range","precipitation.mean","precipitation.range","soil_variety","near_length","number_near","mass_effect","native.total.bird","native.total.reptile","native.total.mammal","native.total.frugivore","total_bird_mass","total_mammal_mass","total_reptile_mass","total_frugivore_mass","min_temp_range","min_temp_mean","Centroid_X","Centroid_Y"
"Area.km2",1,0.964030364644383,0.419394053168815,0.598515101485253,0.505578500168994,0.773687463952385,0.793717242058754,0.332554769711459,0.617839962607899,0.112022850013169,0.60010449710255,0.82692056037294,-0.0498399367183488,0.144846646852469,0.175467103620077,0.381574539691341,0.774896299990372,0.582528741818593,0.656707592486349,0.539040767894849,0.307476470679325,0.249258399134578,0.35867197604353,0.643249640651518,0.188572342834608,-0.0651290508177209,-0.0105027169510962
"Perimeter.km",0.964030364644383,1,0.485855300155323,0.600060946656434,0.550417581738546,0.731790984508312,0.812264581464648,0.267104261470016,0.556677234602137,0.107979256649259,0.58935313365175,0.80370073634727,-0.0525043932069686,0.153960004509034,0.193018794365401,0.46644822679189,0.698054890457595,0.668272709302422,0.703776545341335,0.609273970451273,0.370693213443831,0.247457762521144,0.384949495296576,0.593179202648503,0.243100886346292,-0.116509158469272,0.0515402037646879
"abiotic_plant",0.419394053168815,0.485855300155323,1,0.821133398215897,0.976448965516636,0.296909286334928,0.569494890760949,0.214645074995453,0.319933680505809,0.330618700791764,0.41465565973314,0.458759951579557,-0.15364772789124,0.24246695243363,0.217319726902607,0.354852560940981,0.381842857133907,0.56195402279345,0.531483622066168,0.617582698387298,0.59294551642958,0.270910082063118,0.499359294282885,0.368028065846489,0.131902573845554,-0.270533487437707,-0.00990533222488695
"zoo_plant",0.598515101485253,0.600060946656434,0.821133398215897,1,0.924930181776489,0.562871424701131,0.679240456689369,0.52300000261722,0.629811214051997,0.429983693313801,0.6777371320671,0.70191329255732,-0.0567218193172283,0.181447064210906,0.21179217813002,0.279214088155077,0.620150580480648,0.559556290062363,0.565895582018638,0.672859027969814,0.39284770101531,0.312653272142145,0.462414887491429,0.669153186370577,0.121236644726813,0.0223120194902845,-0.248501862575126
"total.plant",0.505578500168994,0.550417581738546,0.976448965516636,0.924930181776489,1,0.410545697472949,0.636053553924832,0.340680925739339,0.451179673233585,0.382741032821755,0.532374688128563,0.570871842198193,-0.12375839711494,0.23006943809682,0.22482000008273,0.341846607837084,0.488738959394428,0.585724429099896,0.567857400242807,0.665674173541531,0.543457379548975,0.298612122510643,0.507394180833262,0.498075594462431,0.133603385245464,-0.171730418181952,-0.100576257223555
"kgc.variety",0.773687463952385,0.731790984508312,0.296909286334928,0.562871424701131,0.410545697472949,1,0.660161604255251,0.562322789213083,0.737695294640798,0.254268242082754,0.723278650544428,0.71390791960772,0.073721864243303,0.0401859734987378,0.144730705735475,0.165843117988094,0.720043250361331,0.395499909793416,0.463504674165432,0.408813348923933,0.0231121790025405,0.198850051334781,0.180442231701809,0.736297080061903,0.164163970555753,0.264412158572693,-0.260200552210809
"phz_variety",0.793717242058754,0.812264581464648,0.569494890760949,0.679240456689369,0.636053553924832,0.660161604255251,1,0.393954048156082,0.613066128176752,0.159505607699856,0.708110330888556,0.734992534933127,0.0120392059015787,0.0885552967473876,0.221135083309855,0.517357610096264,0.758650989696816,0.571958288025854,0.72516937139788,0.679935164412686,0.395622059954606,0.291583166410579,0.434910581908615,0.683853856665856,0.208262746739684,-0.19200378293633,0.0428136872241787
"elevation.mean",0.332554769711459,0.267104261470016,0.214645074995453,0.52300000261722,0.340680925739339,0.562322789213083,0.393954048156082,1,0.909154860326815,0.618121536937324,0.706850208553407,0.606553004553569,0.15593544541679,-0.0743086897735116,0.00610534565039352,-0.0293630832001095,0.472130861945045,0.156884286891587,0.194536034257062,0.382554834921763,-0.180964236481793,0.185733812809957,0.0955464715502815,0.878063263780993,0.111652671706416,0.518390847242041,-0.598170527985441
"elevation.range",0.617839962607899,0.556677234602137,0.319933680505809,0.629811214051997,0.451179673233585,0.737695294640798,0.613066128176752,0.909154860326815,1,0.532049220263462,0.814374705596863,0.802921704201659,0.142990983773258,0.00556477179423247,0.00574494412688238,0.115682638312999,0.661710284048643,0.328217844129697,0.387883695421347,0.5081449970005,-0.0315655642846911,0.248795938332753,0.213090172878165,0.978680521165826,0.140688999097832,0.400873662975569,-0.481495606372154
"precipitation.mean",0.112022850013169,0.107979256649259,0.330618700791764,0.429983693313801,0.382741032821755,0.254268242082754,0.159505607699856,0.618121536937324,0.532049220263462,1,0.467848434089271,0.407666702845047,0.094378853339683,-0.0629806848981788,-0.00916162554819768,-0.0930886908347988,0.160843184422992,0.156446238948731,0.0657214438042395,0.249109045114187,0.00131109127882501,0.132647136982869,0.106940125866067,0.492324978504656,0.122009136574328,0.292631844080274,-0.502218550548375
"precipitation.range",0.60010449710255,0.58935313365175,0.41465565973314,0.6777371320671,0.532374688128563,0.723278650544428,0.708110330888556,0.706850208553407,0.814374705596863,0.467848434089271,1,0.853574055160884,0.186609224080311,-0.0476678037516351,0.0741394827048937,0.349304678595751,0.679567815980734,0.423346196199195,0.568065260788219,0.631980077326598,0.034171833863833,0.324939169731432,0.318298707675715,0.857072147469349,0.257067341121748,0.171415287761943,-0.277435751950888
"soil_variety",0.82692056037294,0.80370073634727,0.458759951579557,0.70191329255732,0.570871842198193,0.71390791960772,0.734992534933127,0.606553004553569,0.802921704201659,0.407666702845047,0.853574055160884,1,0.050883578530712,0.040015360747961,0.108661688505873,0.354893465077559,0.713249125990215,0.56243937149799,0.618041861709642,0.648049196916114,0.195540996355549,0.348870614105776,0.401201907377803,0.827215820593057,0.265813902996177,0.124798013854034,-0.237605074053821
"near_length",-0.0498399367183488,-0.0525043932069686,-0.15364772789124,-0.0567218193172283,-0.12375839711494,0.073721864243303,0.0120392059015787,0.15593544541679,0.142990983773258,0.094378853339683,0.186609224080311,0.050883578530712,1,-0.422454974090578,-0.133086414827313,0.0325750993096079,-0.0152728282733278,-0.134977970728044,-0.0476530853980129,-0.0139745007984297,-0.211346188102979,-0.0657929909623286,-0.174665609638745,0.159527335263752,-0.0694570001258961,0.111080877506541,-0.143520034519235
"number_near",0.144846646852469,0.153960004509034,0.24246695243363,0.181447064210906,0.23006943809682,0.0401859734987378,0.0885552967473876,-0.0743086897735116,0.00556477179423247,-0.0629806848981788,-0.0476678037516351,0.040015360747961,-0.422454974090578,1,-0.0607064505339366,0.0661592774886956,0.0350811942540016,0.262978616732787,0.105831281567508,0.133646831049748,0.259031092793904,-0.101515830237494,0.0176399528905011,-0.0151244545779539,0.0669861536266753,-0.12022616416649,0.196438174774092
"mass_effect",0.175467103620077,0.193018794365401,0.217319726902607,0.21179217813002,0.22482000008273,0.144730705735475,0.221135083309855,0.00610534565039352,0.00574494412688238,-0.00916162554819768,0.0741394827048937,0.108661688505873,-0.133086414827313,-0.0607064505339366,1,0.0566866144907068,0.0617142952555817,0.34536596296854,0.176449467889164,0.146317953815401,0.17014130879852,-0.00865733262696074,0.1423971788256,0.0150331628474013,-0.0588983979073621,-0.0717016287187081,-0.0429538079975715
"native.total.bird",0.381574539691341,0.46644822679189,0.354852560940981,0.279214088155077,0.341846607837084,0.165843117988094,0.517357610096264,-0.0293630832001095,0.115682638312999,-0.0930886908347988,0.349304678595751,0.354893465077559,0.0325750993096079,0.0661592774886956,0.0566866144907068,1,0.379341811198696,0.43583941358735,0.868515747462952,0.736001038962443,0.231869837257458,0.183764579531219,0.299972159791769,0.24653282545119,0.238218477741674,-0.54075342918898,0.554457394863677
"native.total.reptile",0.774896299990372,0.698054890457595,0.381842857133907,0.620150580480648,0.488738959394428,0.720043250361331,0.758650989696816,0.472130861945045,0.661710284048643,0.160843184422992,0.679567815980734,0.713249125990215,-0.0152728282733278,0.0350811942540016,0.0617142952555817,0.379341811198696,1,0.40172901435583,0.689455743514546,0.549097522638532,0.168902929076266,0.443090289118932,0.459855470815929,0.716935432044909,0.155463623533048,0.0193437838999147,-0.0839399433201967
"native.total.mammal",0.582528741818593,0.668272709302422,0.56195402279345,0.559556290062363,0.585724429099896,0.395499909793416,0.571958288025854,0.156884286891587,0.328217844129697,0.156446238948731,0.423346196199195,0.56243937149799,-0.134977970728044,0.262978616732787,0.34536596296854,0.43583941358735,0.40172901435583,1,0.66965773934773,0.616569628134021,0.424354182612543,0.272987702050902,0.419006880655126,0.363694793547852,0.241185057068398,-0.137313856345951,0.0627702126149648
"native.total.frugivore",0.656707592486349,0.703776545341335,0.531483622066168,0.565895582018638,0.567857400242807,0.463504674165432,0.72516937139788,0.194536034257062,0.387883695421347,0.0657214438042395,0.568065260788219,0.618041861709642,-0.0476530853980129,0.105831281567508,0.176449467889164,0.868515747462952,0.689455743514546,0.66965773934773,1,0.845860403770278,0.335254002720419,0.340670628046031,0.484775128207645,0.492978578734958,0.241693323598642,-0.360261989534111,0.299311040501407
"total_bird_mass",0.539040767894849,0.609273970451273,0.617582698387298,0.672859027969814,0.665674173541531,0.408813348923933,0.679935164412686,0.382554834921763,0.5081449970005,0.249109045114187,0.631980077326598,0.648049196916114,-0.0139745007984297,0.133646831049748,0.146317953815401,0.736001038962443,0.549097522638532,0.616569628134021,0.845860403770278,1,0.34540367771057,0.321477085233145,0.484894576385207,0.587895077911052,0.30962027736902,-0.187492595813762,0.0797025640336528
"total_mammal_mass",0.307476470679325,0.370693213443831,0.59294551642958,0.39284770101531,0.543457379548975,0.0231121790025405,0.395622059954606,-0.180964236481793,-0.0315655642846911,0.00131109127882501,0.034171833863833,0.195540996355549,-0.211346188102979,0.259031092793904,0.17014130879852,0.231869837257458,0.168902929076266,0.424354182612543,0.335254002720419,0.34540367771057,1,0.26749422168227,0.621815861257833,0.00274979765477633,0.0180058444879519,-0.515447768403236,0.207908430772791
"total_reptile_mass",0.249258399134578,0.247457762521144,0.270910082063118,0.312653272142145,0.298612122510643,0.198850051334781,0.291583166410579,0.185733812809957,0.248795938332753,0.132647136982869,0.324939169731432,0.348870614105776,-0.0657929909623286,-0.101515830237494,-0.00865733262696074,0.183764579531219,0.443090289118932,0.272987702050902,0.340670628046031,0.321477085233145,0.26749422168227,1,0.878633167942701,0.260709439577864,0.126506498185866,-0.0303100372963865,-0.16993613676062
"total_frugivore_mass",0.35867197604353,0.384949495296576,0.499359294282885,0.462414887491429,0.507394180833262,0.180442231701809,0.434910581908615,0.0955464715502815,0.213090172878165,0.106940125866067,0.318298707675715,0.401201907377803,-0.174665609638745,0.0176399528905011,0.1423971788256,0.299972159791769,0.459855470815929,0.419006880655126,0.484775128207645,0.484894576385207,0.621815861257833,0.878633167942701,1,0.244568265837461,0.0918070287803396,-0.239485414156262,-0.0415805407834221
"min_temp_range",0.643249640651518,0.593179202648503,0.368028065846489,0.669153186370577,0.498075594462431,0.736297080061903,0.683853856665856,0.878063263780993,0.978680521165826,0.492324978504656,0.857072147469349,0.827215820593057,0.159527335263752,-0.0151244545779539,0.0150331628474013,0.24653282545119,0.716935432044909,0.363694793547852,0.492978578734958,0.587895077911052,0.00274979765477633,0.260709439577864,0.244568265837461,1,0.177053602134887,0.291176883777381,-0.377486469189839
"min_temp_mean",0.188572342834608,0.243100886346292,0.131902573845554,0.121236644726813,0.133603385245464,0.164163970555753,0.208262746739684,0.111652671706416,0.140688999097832,0.122009136574328,0.257067341121748,0.265813902996177,-0.0694570001258961,0.0669861536266753,-0.0588983979073621,0.238218477741674,0.155463623533048,0.241185057068398,0.241693323598642,0.30962027736902,0.0180058444879519,0.126506498185866,0.0918070287803396,0.177053602134887,1,-0.074285525976116,-0.0117621781720773
"Centroid_X",-0.0651290508177209,-0.116509158469272,-0.270533487437707,0.0223120194902845,-0.171730418181952,0.264412158572693,-0.19200378293633,0.518390847242041,0.400873662975569,0.292631844080274,0.171415287761943,0.124798013854034,0.111080877506541,-0.12022616416649,-0.0717016287187081,-0.54075342918898,0.0193437838999147,-0.137313856345951,-0.360261989534111,-0.187492595813762,-0.515447768403236,-0.0303100372963865,-0.239485414156262,0.291176883777381,-0.074285525976116,1,-0.809495140492067
"Centroid_Y",-0.0105027169510962,0.0515402037646879,-0.00990533222488695,-0.248501862575126,-0.100576257223555,-0.260200552210809,0.0428136872241787,-0.598170527985441,-0.481495606372154,-0.502218550548375,-0.277435751950888,-0.237605074053821,-0.143520034519235,0.196438174774092,-0.0429538079975715,0.554457394863677,-0.0839399433201967,0.0627702126149648,0.299311040501407,0.0797025640336528,0.207908430772791,-0.16993613676062,-0.0415805407834221,-0.377486469189839,-0.0117621781720773,-0.809495140492067,1
